config,BM,BN,BK,TM,TN,threads,registers_per_thread,static_shared_bytes,verify_pass,verify_max_error,case,M,N,K,min_ms,avg_ms,max_ms,avg_gflops,best_gflops
C00_baseline_64x64x8_8x8,64,64,8,8,8,64,119,4352,PASS,1.66893e-06,square_4096,4096,4096,4096,14.8398,15.0971,15.6313,9103.69,9261.5
C01_32x64x8_8x8,32,64,8,8,8,32,118,3328,PASS,1.66893e-06,square_4096,4096,4096,4096,17.1663,17.9053,18.7791,7675.87,8006.31
C02_64x32x8_8x8,64,32,8,8,8,32,121,3328,PASS,1.66893e-06,square_4096,4096,4096,4096,18.1942,18.8368,19.8757,7296.31,7553.99
C03_64x128x8_8x8,64,128,8,8,8,128,117,6400,PASS,1.66893e-06,square_4096,4096,4096,4096,15.3138,15.5945,16.0174,8813.27,8974.83
C04_128x64x8_8x8,128,64,8,8,8,128,118,6400,PASS,1.66893e-06,square_4096,4096,4096,4096,13.8074,15.2396,18.7453,9018.54,9953.99
C05_128x128x8_8x8,128,128,8,8,8,256,110,8448,PASS,1.66893e-06,square_4096,4096,4096,4096,15.231,15.9696,16.9851,8606.27,9023.65
C06_64x64x16_8x8,64,64,16,8,8,64,102,8704,PASS,1.66893e-06,square_4096,4096,4096,4096,15.156,15.8573,18.8867,8667.25,9068.29
C07_64x128x16_8x8,64,128,16,8,8,128,126,12800,PASS,1.66893e-06,square_4096,4096,4096,4096,14.9279,16.0492,17.7428,8563.62,9206.87
C08_128x64x16_8x8,128,64,16,8,8,128,126,12800,PASS,1.66893e-06,square_4096,4096,4096,4096,14.0564,14.2203,14.5582,9664.98,9777.64
C09_128x128x16_8x8,128,128,16,8,8,256,125,16896,PASS,1.66893e-06,square_4096,4096,4096,4096,14.4404,14.6001,14.9893,9413.56,9517.64
C10_64x64x8_4x8,64,64,8,4,8,128,72,4352,PASS,1.66893e-06,square_4096,4096,4096,4096,17.622,17.8645,18.2435,7693.4,7799.27
C11_64x64x8_8x4,64,64,8,8,4,128,71,4352,PASS,1.66893e-06,square_4096,4096,4096,4096,16.8325,17.1007,17.4816,8037.04,8165.09
C12_64x64x16_4x8,64,64,16,4,8,128,72,8704,PASS,1.66893e-06,square_4096,4096,4096,4096,17.5258,17.8745,19.1713,7689.12,7842.11
C13_64x64x16_8x4,64,64,16,8,4,128,71,8704,PASS,1.66893e-06,square_4096,4096,4096,4096,17.0301,17.3642,19.242,7915.09,8070.33
C00_baseline_64x64x8_8x8,64,64,8,8,8,64,119,4352,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.14381,1.17537,1.28614,7308.3,7509.94
C01_32x64x8_8x8,32,64,8,8,8,32,118,3328,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.06189,1.15167,1.62406,7458.68,8089.3
C02_64x32x8_8x8,64,32,8,8,8,32,121,3328,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.20013,1.28392,1.73363,6690.38,7157.52
C03_64x128x8_8x8,64,128,8,8,8,128,117,6400,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.21446,1.27399,1.4295,6742.52,7073.03
C04_128x64x8_8x8,128,64,8,8,8,128,118,6400,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.20218,1.28814,1.44573,6668.5,7145.32
C05_128x128x8_8x8,128,128,8,8,8,256,110,8448,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.2719,1.37141,1.7623,6263.57,6753.6
C06_64x64x16_8x8,64,64,16,8,8,64,102,8704,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.0025,1.02418,1.22982,8387.17,8568.55
C07_64x128x16_8x8,64,128,16,8,8,128,126,12800,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.00358,1.02133,1.2207,8410.53,8559.26
C08_128x64x16_8x8,128,64,16,8,8,128,126,12800,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,0.932864,0.968905,1.36778,8865.61,9208.13
C09_128x128x16_8x8,128,128,16,8,8,256,125,16896,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.04038,1.10183,1.4304,7796.04,8256.5
C10_64x64x8_4x8,64,64,8,4,8,128,72,4352,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.18784,1.21565,1.42131,7066.14,7231.56
C11_64x64x8_8x4,64,64,8,8,4,128,71,4352,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.1039,1.12218,1.19296,7654.66,7781.41
C12_64x64x16_4x8,64,64,16,4,8,128,72,8704,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.11514,1.12647,1.13562,7625.5,7703.04
C13_64x64x16_8x4,64,64,16,8,4,128,71,8704,PASS,1.66893e-06,m4096_n256_k4096,4096,256,4096,1.00445,1.01798,1.04653,8438.19,8551.9
C00_baseline_64x64x8_8x8,64,64,8,8,8,64,119,4352,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,0.9984,1.023,1.05264,8396.84,8603.7
C01_32x64x8_8x8,32,64,8,8,8,32,118,3328,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,1.08442,1.10298,1.15302,7787.96,7921.25
C02_64x32x8_8x8,64,32,8,8,8,32,121,3328,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,1.21533,1.22947,1.42848,6986.69,7068
C03_64x128x8_8x8,64,128,8,8,8,128,117,6400,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,1.07008,1.09987,1.12947,7809.95,8027.38
C04_128x64x8_8x8,128,64,8,8,8,128,118,6400,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,0.997376,1.0157,1.03117,8457.17,8612.53
C05_128x128x8_8x8,128,128,8,8,8,256,110,8448,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,1.22166,1.23982,1.45302,6928.37,7031.34
C06_64x64x16_8x8,64,64,16,8,8,64,102,8704,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,1.03322,1.05676,1.26771,8128.55,8313.78
C07_64x128x16_8x8,64,128,16,8,8,128,126,12800,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,1.01888,1.03404,1.22579,8307.12,8430.76
C08_128x64x16_8x8,128,64,16,8,8,128,126,12800,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,0.941056,0.960607,1.0281,8942.19,9127.97
C09_128x128x16_8x8,128,128,16,8,8,256,125,16896,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,1.04234,1.07181,1.2759,8014.44,8241.04
C10_64x64x8_4x8,64,64,8,4,8,128,72,4352,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,1.08134,1.14112,1.39366,7527.63,7943.76
C11_64x64x8_8x4,64,64,8,8,4,128,71,4352,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,1.03526,1.05665,1.29229,8129.4,8297.34
C12_64x64x16_4x8,64,64,16,4,8,128,72,8704,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,1.12333,1.14115,1.49094,7527.46,7646.86
C13_64x64x16_8x4,64,64,16,8,4,128,71,8704,PASS,1.66893e-06,m256_n4096_k4096,256,4096,4096,0.987136,1.03069,1.33427,8334.2,8701.88
